Артикул ;Наименование;Цена 0;Цена 1;Цена 2;Цена 3;Цена 4;Цена 5;Количество;Характеристики (json)
1-29212-M                  ;Женские толстовки с капюшоном 1 РОСТ Красная M;795;676;660;636;612;596;1;
1-29212-S                  ;Женские толстовки с капюшоном 1 РОСТ Красная S;795;676;660;636;612;596;1;
1-29212-XL                  ;Женские толстовки с капюшоном 1 РОСТ Красная XL;795;676;660;636;612;596;1;
150002-2XL               ;Мужские футболки Topic кор.рукав 100% хб белые 2XL;175;120;120;120;120;120;1;
150002-3XL               ;Мужские футболки Topic кор.рукав 100% хб белые 3XL;175;120;120;120;120;120;1;
150002-L                 ;Мужские футболки Topic кор.рукав 100% хб белые L;175;120;120;120;120;120;1;
150002-M                 ;Мужские футболки Topic кор.рукав 100% хб белые M;175;120;120;120;120;120;1;
150002-S                 ;Мужские футболки Topic кор.рукав 100% хб белые S;175;120;120;120;120;120;1;
150002-XL                ;Мужские футболки Topic кор.рукав 100% хб белые XL;175;120;120;120;120;120;1;
150003-3XL               ;Мужские футболки Topic кор.рукав 100% хб   бирюза 3XL;185;120;120;120;120;120;1;
150003-L                 ;Мужские футболки Topic кор.рукав 100% хб   бирюза L;185;120;120;120;120;120;1;
150003-M                 ;Мужские футболки Topic кор.рукав 100% хб   бирюза M;185;120;120;120;120;120;1;
150003-S                 ;Мужские футболки Topic кор.рукав 100% хб   бирюза S;185;120;120;120;120;120;1;
150003-XL                ;Мужские футболки Topic кор.рукав 100% хб   бирюза  XL;185;120;120;120;120;120;1;
150004-2XL               ;Мужские футболки Topic кор.рукав 100% хб  бордовый 2XL;185;120;120;120;120;120;1;
150004-3XL               ;Мужские футболки Topic кор.рукав 100% хб  бордовый 3XL;185;120;120;120;120;120;1;
150004-L                 ;Мужские футболки Topic кор.рукав 100% хб  бордовый L;185;120;120;120;120;120;1;
150004-M                 ;Мужские футболки Topic кор.рукав 100% хб  бордовый М;185;120;120;120;120;120;1;
150004-S                 ;Мужские футболки Topic кор.рукав 100% хб  бордовый S;185;120;120;120;120;120;1;
150004-XL                ;Мужские футболки Topic кор.рукав 100% хб  бордовый XL;185;120;120;120;120;120;1;
150005-2XL               ;Мужские футболки Topic кор.рукав 100% хб  голубой 2XL;185;120;120;120;120;120;1;
150005-3XL               ;Мужские футболки Topic кор.рукав 100% хб  голубой 3XL;185;120;120;120;120;120;1;
150005-L                 ;Мужские футболки Topic кор.рукав 100% хб  голубой L;185;120;120;120;120;120;1;
150005-M                 ;Мужские футболки Topic кор.рукав 100% хб  голубой М;185;120;120;120;120;120;1;
150005-S                 ;Мужские футболки Topic кор.рукав 100% хб  голубой S;185;120;120;120;120;120;1;
150005-XL                ;Мужские футболки Topic кор.рукав 100% хб  голубой XL;185;120;120;120;120;120;1;
150007-2XL               ;Мужские футболки Topic кор.рукав 100% хб зеленые 2XL;185;120;120;120;120;120;1;
150007-3XL               ;Мужские футболки Topic кор.рукав 100% хб зеленые 3XL;185;120;120;120;120;120;1;
150007-L                 ;Мужские футболки Topic кор.рукав 100% хб зеленые L;185;120;120;120;120;120;1;
150007-M                 ;Мужские футболки Topic кор.рукав 100% хб зеленые M;185;120;120;120;120;120;1;
150008-2XL               ;Мужские футболки Topic кор.рукав 100% хб красные 2XL;185;120;120;120;120;120;1;
150008-3XL               ;Мужские футболки Topic кор.рукав 100% хб красные 3XL;185;120;120;120;120;120;1;
